미인,이럴거면,유혹의 소나타,미워요,잔소리,Love Love Love,안녕,흰눈,추억은 사랑을 닮아,사랑…후에,So Hot,하루 하루,Love,Nobody,서커스,마지막인사,사랑과 전쟁,U-Go-Girl,천국,가지마 가지마,Gee,I Don't Care,Abracadabra,HeartBreaker,Again&Again,심장이 없어,사랑비,Fire,쏘리 쏘리,Lollipop,Bad Girl Good Girl,잔소리,죽을 만큼 아파서,못해,죽어도 못 보내,Oh!,2 Different Tears,너 때문에 미쳐,밥만 잘 먹더라,Go Away,Roly-Poly,바람났어,내가 제일 잘 나가,비가 오는 날엔,TV를 껐네…,So Cool,UGLY,좋은 날,살다가 한번쯤,안녕이라고 말하지마,강남스타일,나혼자,벚꽃 엔딩,Loving U,FANTASTIC BABY,I Love  You,정말로 사랑한다면,Heaven,하루 끝,첫사랑,자니,눈물,NoNoNo,눈물샤워,물음표,Give It To Me,이름이 뭐예요?,모노드라마,My Love,있다 없으니까,썸,야생화,눈. 코. 입,금요일에 만나요,한여름밤의 꿀,봄 사랑 벚꽃 말고,Mr.Chu,너의 의미,Something,200%,뱅뱅뱅,같은 시간 속의 너,꺼내 먹어요,이럴거면 그러지말지,위잉위잉,LOSER,BAE BAE,그냥,양화대교,우연히 봄
11,18,16,19,18,21.5,19,14,13,15.5,22.5,22.5,28,24.5,16,14,21.5,18,19,21.5,24.5,23,22,22.5,22.5,23,12.5,20,17.5,20,21,19.5,22,17.5,17.5,26.5,21.5,19.5,24.5,19.5,16,14,22,18.5,17,19,18.5,20,22,17,20,32,19,21.5,15,19.5,10,25,28,11,17,17.5,27,26,17.5,26.5,16,15,21,25.5,21.5,18.5,20,22,22.5,25,21.5,22.5,21.5,14.5,14,18,14.5,21.5,18,18,22,18,19.5,22
14,18,16,19,18,22.5,19,19,16,17,22.5,17,28,24.5,18,14,22.5,18,19,21.5,25.5,23,22,24,21.5,24.5,19.5,20,17.5,18.5,21,20,22,17.5,17.5,26.5,22.5,17,24.5,19.5,19,14,22.5,18.5,24,19,18.5,20,21.5,17,20,31.5,20,16,15,21,11,25,26,11,17,17.5,26,26,17.5,26.5,13,16,21,28,20,18,20,22,22.5,24.5,23,25,20,14.5,15.5,18,13,22.5,19,12.5,22,19.5,20,25
15,18,16,19,18,23,19,17,17.5,18,22.5,20,28,26.5,19,14,23,18,18,21.5,24.5,24.5,22,25,21.5,25.5,19.5,20,17.5,20,21,21.5,26.5,17,17.5,26.5,24.5,19.5,23,20,19,14,21,18.5,24,18,18.5,20,22,19.5,20,30,20,21.5,15,21,14,25,28,12,17,17.5,25,26,17.5,26,13,18,21.5,26.5,21.5,15.5,20,21.5,22.5,25,23,19.5,20,14.5,17,18,16,24.5,18,18,22,22,19.5,26
16,19,16,19.5,17,22.5,19,18,18.5,18,25.5,17.5,28,26.5,19,14,24.5,18,18,21.5,23,25.5,24,24,19.5,24.5,19.5,22,17.5,18.5,21,21.5,26,17.5,12,26.5,24,17,23,19.5,19,14,21,20,24,19,21,20,21.5,19.5,20,30,19,21.5,15,21,14,25,28,14,17,17.5,26,25,17.5,26.5,13,18,21.5,25,21.5,15.5,20,20,22.5,25,21.5,24,19,14.5,15.5,21,17.5,26.5,19,18,22,19.5,18.5,28
17,19,16,19,18,24.5,21,15,13,17,25.5,17.5,27,26.5,19,14,25.5,18,18,21.5,24.5,24.5,22,22.5,21.5,24.5,19.5,23,19,21.5,17,22.5,24,18.5,18,28,22.5,19.5,22,19.5,19,14,21,19.5,24,19,21,20,22,21,20,18,20,20,15,21,14,26,26,18,17,17.5,27,26,17.5,26.5,16,18,21,25,20,17,20,19,22.5,24.5,23,25,17.5,14.5,15,22,16,28.5,18,12.5,22,19.5,17.5,27
15,19,16,21.5,17,22.5,21,16,13,15.5,22.5,15.5,27,26.5,19,14,25.5,18,18,21,25.5,23,22,22.5,21.5,23,19.5,22,19,20,21,21.5,19.5,19.5,17.5,28,22.5,17,24.5,19.5,18,14,21,20,24,19,21,21,21.5,21,20,18,20,19,15,19.5,15,27,28,16,17,17.5,26,23,17.5,26.5,13,18,22.5,25.5,21.5,17,20,20,22.5,25,24.5,24,19,14.5,14,21,17.5,26.5,19,17,22,19,17.5,26
18,18,16,22,17,23,21,17,18.5,17,22.5,17,27,26.5,16,14,28.5,18,19,21.5,24.5,23,22,22.5,19.5,23,19.5,23,19,18.5,21,21.5,25,20,16,28,24.5,19.5,24.5,19.5,16,14,21,19.5,19.5,18,21,21,22,22,20,18,19,19,15,19.5,15,25,28,11,17,17.5,27,22,17.5,26,12,18,19.5,26.5,21.5,17,20,18.5,22.5,24.5,24.5,21,21.5,14.5,12.5,21,19,24.5,21,17,22,19,19.5,25
15,17.5,16,23,17,23,21,16,19,19.5,23,17.5,27,25.5,18,14,25.5,18,19,21.5,23,23,22,22,21.5,23,19.5,20,19,20,17,19.5,24,18.5,15,28,24.5,19.5,22,19.5,19,14,21,20,19.5,19,19.5,21,22,22,20,18,20,21.5,15,21,10,25,26,11,15.5,17.5,26,22,17.5,26.5,13,18,21,25.5,20,15.5,21,16,22.5,25,22.5,22.5,21.5,14.5,11,23,18.5,21.5,19,18,22,19,20,25
15,18,18,23,18,22.5,17,17,18.5,19.5,23,18.5,27,24.5,19,14,24.5,18,19,18.5,23,24.5,22,22,21.5,23,19.5,20,21.5,20,21,20,22.5,17.5,19,25,24,19.5,22,19.5,19,14,21,18.5,17,19,18.5,21,21.5,19.5,20,18,20,16,15,21,11,25,29,12,14.5,17.5,27,23,17.5,26,16,19,21.5,28,21.5,17,21,16,21,25,21.5,22.5,20,14.5,14,18,17.5,24.5,18,18,22,19,19.5,25
15,19,17,22,17,20,16,19,19,18,23,19.5,27,27,19,14,24.5,18,16,19.5,24.5,25.5,22,22,19.5,23,19.5,19,17.5,18.5,21,21.5,22,17.5,19,25,22.5,17,23,20,19,14,21.5,18.5,24,19,21,21,22,17,20,31.5,19,21.5,15,21,14,25,28,14,14.5,17.5,26,24,17.5,26,13,19,22.5,26.5,22,18,23,16,22.5,24.5,20,25,20,14.5,24,23,16,22.5,19,18.5,20,19.5,18.5,26
